state_code,city_code,city_name
AN,640,South Andaman
AP,552,Kurnool
AP,549,Prakasam
AP,542,Srikakulam
AP,553,Anantapur
AP,546,West Godavari
AP,554,Chittoor
AP,550,Sri Potti Sriramulu Nellore
AP,548,Guntur
AP,543,Vizianagaram
AP,547,Krishna
AP,544,Visakhapatnam
AP,545,East Godavari
AP,551,Y.S.R.
AR,257,Dibang Valley
AR,250,West Siang
AR,246,West Kameng
AR,249,Upper Subansiri
AR,260,Anjaw
AR,254,Tirap
AR,253,Changlang
AR,256,Kurung Kumey
AR,251,East Siang
AR,258,Lower Dibang Valley
AR,248,Papum Pare
AR,247,East Kameng
AR,245,Tawang
AR,259,Lohit
AR,252,Upper Siang
AR,255,Lower Subansiri
AS,319,Bongaigaon
AS,320,Chirang
AS,317,Karimganj
AS,300,Kokrajhar
AS,302,Goalpara
AS,318,Hailakandi
AS,314,Karbi Anglong
AS,325,Darrang
AS,304,Morigaon
AS,310,Dibrugarh
AS,324,Baksa
AS,322,Kamrup Metropolitan
AS,307,Lakhimpur
AS,305,Nagaon
AS,321,Kamrup
AS,301,Dhubri
AS,303,Barpeta
AS,313,Golaghat
AS,308,Dhemaji
AS,316,Cachar
AS,311,Sivasagar
AS,306,Sonitpur
AS,323,Nalbari
AS,309,Tinsukia
AS,312,Jorhat
AS,326,Udalguri
AS,315,Dima Hasao
BR,240,Arwal
BR,225,Banka
BR,215,Darbhanga
BR,232,Buxar
BR,238,Jamui
BR,209,Araria
BR,223,Khagaria
BR,227,Lakhisarai
BR,207,Madhubani
BR,220,Vaishali
BR,239,Jehanabad
BR,212,Katihar
BR,217,Gopalganj
BR,233,Kaimur (Bhabua)
BR,226,Munger
BR,213,Madhepura
BR,230,Patna
BR,211,Purnia
BR,235,Aurangabad
BR,203,Pashchim Champaran
BR,216,Muzaffarpur
BR,221,Samastipur
BR,234,Rohtas
BR,231,Bhojpur
BR,228,Sheikhpura
BR,205,Sheohar
BR,229,Nalanda
BR,214,Saharsa
BR,206,Sitamarhi
BR,218,Siwan
BR,219,Saran
BR,204,Purba Champaran
BR,224,Bhagalpur
BR,208,Supaul
BR,222,Begusarai
BR,210,Kishanganj
BR,236,Gaya
BR,237,Nawada
CH,55,Chandigarh
CT,417,Bijapur
